"Hand","Hands"
"","1,228"
"AA","17"
"AKs","9"
"AKo","30"
"AQs","9"
"AQo","23"
"AJs","10"
"AJo","25"
"ATs","9"
"ATo","11"
"A9s","11"
"A9o","12"
"A8s","9"
"A8o","13"
"A7s","4"
"A7o","8"
"A6s","10"
"A6o","8"
"A5s","10"
"A5o","5"
"A4s","5"
"A4o","3"
"A3s","9"
"A3o","2"
"A2s","7"
"A2o","5"
"KK","12"
"KQs","3"
"KQo","27"
"KJs","11"
"KJo","10"
"KTs","8"
"KTo","13"
"K9s","6"
"K9o","5"
"K8s","3"
"K8o","1"
"K7s","7"
"K7o","2"
"K6s","4"
"K6o","1"
"K5s","3"
"K3s","2"
"K2s","2"
"QQ","15"
"QJs","7"
"QJo","9"
"QTs","13"
"QTo","10"
"Q9s","4"
"Q9o","6"
"Q8s","4"
"Q8o","3"
"Q7s","3"
"Q7o","1"
"Q6s","2"
"Q5s","1"
"Q5o","1"
"Q4s","1"
"Q4o","2"
"Q3s","5"
"Q2s","1"
"Q2o","2"
"JJ","20"
"JTs","13"
"JTo","11"
"J9s","9"
"J9o","6"
"J8s","9"
"J8o","1"
"J6s","1"
"J6o","2"
"J5s","2"
"J3s","2"
"J3o","2"
"J2o","3"
"TT","18"
"T9s","9"
"T9o","4"
"T8s","4"
"T8o","4"
"T7s","1"
"T7o","1"
"T6s","1"
"T5s","2"
"T5o","2"
"T3s","1"
"99","13"
"98s","10"
"98o","6"
"97s","6"
"96s","6"
"96o","1"
"95s","2"
"94s","2"
"93s","2"
"93o","1"
"88","14"
"87s","3"
"87o","3"
"86s","3"
"85s","6"
"85o","1"
"84s","2"
"84o","1"
"77","18"
"76s","3"
"76o","1"
"75s","3"
"74s","4"
"74o","1"
"73s","2"
"66","11"
"65s","4"
"65o","1"
"64s","3"
"63s","1"
"62s","1"
"55","11"
"54s","4"
"54o","2"
"53s","2"
"52s","1"
"52o","1"
"44","10"
"43s","2"
"42s","3"
"42o","1"
"33","9"
"32s","1"
"32o","2"
"22","11"
